priority,category,channel,customer_tier,assigned_group,num_reassignments,response_time_first,sla_breached,resolution_seconds,time_to_deadline_seconds
P3,hardware,email,enterprise,team_c,0,68.45133447,0,83424216.0,86400.0
P2,hardware,portal,standard,team_d,1,21.63918537,1,62200218.0,28800.0
P3,hardware,portal,standard,team_a,0,72.60701738,0,68926914.0,86400.0
P3,software,chat,standard,team_c,1,58.1470406,0,,86400.0
P2,hardware,email,standard,team_b,0,27.95001445,1,86126556.0,28800.0
P1,hardware,chat,standard,team_d,1,22.50816219,0,,14400.0
P4,network,email,enterprise,team_a,1,118.5392162,1,90583170.0,172800.0
P3,software,portal,standard,team_d,2,0.720408185,0,83510058.0,86400.0
P4,software,phone,standard,team_a,1,75.50694575,0,,172800.0
P2,billing,chat,standard,team_b,2,32.40021807,0,73775958.0,28800.0
P3,hardware,chat,standard,team_b,0,75.88534793,0,63720144.0,86400.0
P2,software,portal,standard,team_c,0,42.49723572,0,84769794.0,28800.0
P2,hardware,portal,standard,team_c,1,5.255206996,1,,28800.0
P3,billing,email,vip,team_a,1,241.2177635,1,61293012.0,86400.0
P4,software,chat,standard,team_d,0,5.398472116,0,,172800.0
P3,hardware,phone,vip,team_d,0,10.34951069,0,,86400.0
P4,network,chat,standard,team_c,0,32.71832475,0,79354494.0,172800.0
P3,billing,email,standard,team_c,0,173.615873,0,,86400.0
P3,network,email,standard,team_a,1,20.8096075,1,70058454.0,86400.0
P4,hardware,email,enterprise,team_a,0,50.45181597,0,,172800.0
P3,hardware,chat,enterprise,team_d,0,44.2179763,0,,86400.0
P3,hardware,phone,standard,team_a,2,24.04186631,1,,86400.0
P3,hardware,chat,enterprise,team_a,1,71.50930251,1,68437950.0,86400.0
P3,hardware,portal,standard,team_d,0,41.76456763,0,,86400.0
P4,billing,email,standard,team_d,1,51.80576451,0,65226510.0,172800.0
P2,hardware,portal,enterprise,team_d,0,14.15514532,0,,28800.0
P1,software,portal,standard,team_b,0,156.6682552,1,70461618.0,14400.0
P4,software,email,standard,team_a,3,7.030539141,1,,172800.0
P4,billing,portal,standard,team_d,2,70.32311055,1,,172800.0
P3,billing,chat,standard,team_c,0,130.2387561,0,,86400.0
