ticket_id,created_at,sla_deadline,resolved_at,priority,category,channel,customer_tier,assigned_group,num_reassignments,response_time_first,sla_breached
1,13-04-2023 23:00,14-04-2023 23:00,12:23.6,P3,hardware,email,enterprise,team_c,0,68.45133447,0
2,15-12-2023 14:00,15-12-2023 22:00,11:50.3,P2,hardware,portal,standard,team_d,1,21.63918537,1
3,28-09-2023 11:00,29-09-2023 11:00,05:21.9,P3,hardware,portal,standard,team_a,0,72.60701738,0
4,17-04-2023 11:00,18-04-2023 11:00,46:18.1,P3,software,chat,standard,team_c,1,58.1470406,0
5,13-03-2023 07:00,13-03-2023 15:00,03:02.6,P2,hardware,email,standard,team_b,0,27.95001445,1
6,08-07-2023 15:00,08-07-2023 19:00,34:49.0,P1,hardware,chat,standard,team_d,1,22.50816219,0
7,21-01-2023 08:00,23-01-2023 08:00,17:59.5,P4,network,email,enterprise,team_a,1,118.5392162,1
8,13-04-2023 01:00,14-04-2023 01:00,14:14.3,P3,software,portal,standard,team_d,2,0.720408185,0
9,02-05-2023 13:00,04-05-2023 13:00,31:53.2,P4,software,phone,standard,team_a,1,75.50694575,0
10,03-08-2023 23:00,04-08-2023 07:00,20:19.3,P2,billing,chat,standard,team_b,2,32.40021807,0
11,27-11-2023 23:00,28-11-2023 23:00,11:02.4,P3,hardware,chat,standard,team_b,0,75.88534793,0
12,29-03-2023 15:00,29-03-2023 23:00,18:09.9,P2,software,portal,standard,team_c,0,42.49723572,0
13,10-04-2023 04:00,10-04-2023 12:00,38:31.1,P2,hardware,portal,standard,team_c,1,5.255206996,1
14,26-12-2023 04:00,27-12-2023 04:00,13:50.2,P3,billing,email,vip,team_a,1,241.2177635,1
15,01-06-2023 19:00,03-06-2023 19:00,54:55.3,P4,software,chat,standard,team_d,0,5.398472116,0
16,11-05-2023 20:00,12-05-2023 20:00,27:47.5,P3,hardware,phone,vip,team_d,0,10.34951069,0
17,30-05-2023 17:00,01-06-2023 17:00,03:54.9,P4,network,chat,standard,team_c,0,32.71832475,0
18,05-11-2023 17:00,06-11-2023 17:00,58:08.8,P3,billing,email,standard,team_c,0,173.615873,0
19,15-09-2023 04:00,16-09-2023 04:00,00:40.9,P3,network,email,standard,team_a,1,20.8096075,1
20,10-12-2023 10:00,12-12-2023 10:00,32:33.6,P4,hardware,email,enterprise,team_a,0,50.45181597,0
21,21-10-2023 12:00,22-10-2023 12:00,31:34.5,P3,hardware,chat,enterprise,team_d,0,44.2179763,0
22,11-07-2023 02:00,12-07-2023 02:00,51:54.4,P3,hardware,phone,standard,team_a,2,24.04186631,1
23,04-10-2023 16:00,05-10-2023 16:00,18:32.5,P3,hardware,chat,enterprise,team_a,1,71.50930251,1
24,10-06-2023 17:00,11-06-2023 17:00,41:44.9,P3,hardware,portal,standard,team_d,0,41.76456763,0
25,10-11-2023 13:00,12-11-2023 13:00,11:28.5,P4,billing,email,standard,team_d,1,51.80576451,0
26,22-01-2023 11:00,22-01-2023 19:00,40:58.8,P2,hardware,portal,enterprise,team_d,0,14.15514532,0
27,10-09-2023 13:00,10-09-2023 17:00,01:40.3,P1,software,portal,standard,team_b,0,156.6682552,1
28,24-08-2023 17:00,26-08-2023 17:00,39:47.9,P4,software,email,standard,team_a,3,7.030539141,1
29,11-12-2023 19:00,13-12-2023 19:00,48:13.9,P4,billing,portal,standard,team_d,2,70.32311055,1
30,18-02-2023 01:00,19-02-2023 01:00,24:18.5,P3,billing,chat,standard,team_c,0,130.2387561,0
31,28-02-2023 06:00,28-02-2023 14:00,42:06.6,P2,hardware,portal,standard,team_c,1,5.265687587,1
32,19-06-2023 14:00,20-06-2023 14:00,51:51.1,P3,network,phone,standard,team_b,1,1.750407654,0
33,07-07-2023 09:00,07-07-2023 13:00,32:54.2,P1,network,phone,standard,team_b,0,24.31174573,1
34,28-09-2023 14:00,29-09-2023 14:00,28:07.0,P3,billing,phone,enterprise,team_a,1,93.62399053,0
35,09-07-2023 16:00,09-07-2023 20:00,35:38.1,P1,hardware,phone,vip,team_c,0,75.81626013,1
36,24-06-2023 10:00,25-06-2023 10:00,51:09.3,P3,network,phone,standard,team_b,1,103.6112773,1
37,20-02-2023 01:00,20-02-2023 05:00,08:25.4,P1,billing,portal,standard,team_c,0,30.39991192,1
38,30-12-2023 20:00,31-12-2023 20:00,08:45.1,P3,hardware,email,standard,team_a,0,304.5970674,0
39,24-02-2023 17:00,25-02-2023 17:00,19:12.1,P3,billing,email,standard,team_a,0,27.3524218,0
40,01-09-2023 03:00,02-09-2023 03:00,01:12.3,P3,billing,phone,enterprise,team_b,1,98.20336734,0
41,16-11-2023 08:00,16-11-2023 16:00,59:09.1,P2,billing,phone,vip,team_b,1,25.92146014,1
42,11-05-2023 16:00,12-05-2023 00:00,40:35.3,P2,network,phone,enterprise,team_a,1,14.78809093,1
43,03-11-2023 16:00,04-11-2023 16:00,08:48.7,P3,software,portal,standard,team_a,0,24.62887666,1
44,15-05-2023 16:00,16-05-2023 16:00,49:57.9,P3,software,chat,enterprise,team_d,1,12.84194339,0
45,21-01-2023 15:00,22-01-2023 15:00,09:20.5,P3,network,chat,enterprise,team_a,0,8.294417894,1
46,25-11-2023 19:00,25-11-2023 23:00,09:04.2,P1,network,phone,enterprise,team_a,0,27.14999807,0
47,16-06-2023 07:00,18-06-2023 07:00,37:03.3,P4,network,phone,enterprise,team_b,0,9.525268647,0
48,01-10-2023 22:00,03-10-2023 22:00,06:43.1,P4,network,email,standard,team_a,0,41.86893743,0
49,30-03-2023 14:00,31-03-2023 14:00,20:19.9,P3,software,email,standard,team_c,1,2.163266779,1
50,12-11-2023 00:00,13-11-2023 00:00,41:46.6,P3,software,portal,enterprise,team_b,0,33.86706214,1
51,14-01-2023 18:00,16-01-2023 18:00,08:02.3,P4,billing,phone,standard,team_d,0,190.2130279,0
52,30-08-2023 14:00,01-09-2023 14:00,54:34.8,P4,billing,portal,standard,team_c,0,26.66903427,1
53,22-09-2023 08:00,24-09-2023 08:00,00:52.6,P4,hardware,portal,standard,team_d,0,8.885040447,0
54,12-12-2023 04:00,13-12-2023 04:00,37:54.1,P3,billing,email,standard,team_b,1,21.84759233,1
55,22-02-2023 15:00,24-02-2023 15:00,24:27.0,P4,billing,phone,enterprise,team_c,0,94.00509845,1
56,06-12-2023 12:00,06-12-2023 16:00,48:48.9,P1,billing,chat,standard,team_a,0,22.5828498,0
57,02-04-2023 15:00,03-04-2023 15:00,16:21.9,P3,billing,phone,standard,team_c,3,29.02142195,0
58,21-09-2023 21:00,22-09-2023 21:00,01:35.0,P3,billing,chat,standard,team_c,0,93.29315322,1
